ID,spaceId,duration,number_of_participants,start_date,end_date,createdAt,updatedAt,roomSid
120035,22135,5,1,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,1061501f-edfe-4da3-9cd6-4db368c4982d
120036,22137,17,1,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,9cafd114-4837-48bb-b6a7-6a308e5a2fc2
120037,22133,3,1,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,ab72ad13-e7e9-46d5-9fa9-5ce7050b2e3e
120038,22135,3,1,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,a142e626-b2c1-4370-8978-e85cb9d00117
120039,22133,3,1,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,d3f5158d-410d-41bd-92d2-7db7293e24d8
120040,22135,3,1,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,6f0fc02a-4e4a-47b9-9314-7bb545a4059f
120041,22133,3,1,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,563af7b9-7dd3-4947-9e89-177b392ed954
120042,22135,2,1,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,e4f97e30-326d-4511-adb9-599cc22bf311
120043,22133,3,1,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7530e3a1-c38a-4270-8888-6ce92801e8ce
120044,22137,13,1,7/1/2023 23:22,7/1/2023 23:23,7/1/2023 23:22,7/1/2023 23:23,5f7fe3e9-5531-40cf-836c-7082edd14736
120045,22135,15,2,7/1/2023 23:22,7/1/2023 23:23,7/1/2023 23:22,7/1/2023 23:23,a793528e-e023-4151-9f7f-6fd3d1f0a0e6
120046,22133,4,1,7/1/2023 23:22,7/1/2023 23:23,7/1/2023 23:22,7/1/2023 23:23,9ebc4945-140c-44b8-88fc-7b3ad4c03d59
120047,22133,15,2,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,4a32daf0-0f68-4d5c-bffe-cb981984b87a
120048,22137,16,1,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,33c75068-ca4a-467c-8ab5-67f7859a116e
120049,22135,25,2,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,7/1/2023 23:23,55a9de28-7769-4353-9e4f-f0954672d6ee
