ID,spaceSessionId,userId,createdAt,updatedAt,joinDate,leftDate,parentSpaceSessionId,openSpaceUser
150087,120024,33926,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:21,7/1/2023 23:22,,0
150088,120024,33927,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:21,7/1/2023 23:22,,0
150089,120026,33924,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:21,7/1/2023 23:22,,0
150090,120026,33925,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,,0
150091,120029,33924,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,,0
150092,120027,33928,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,,0
150093,120030,33924,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,,0
150094,120028,33926,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,,0
150095,120028,33927,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,,0
150096,120032,33924,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,,0
150097,120033,33926,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,,0
150098,120031,33928,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,,0
150099,120034,33924,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,,0
150100,120035,33926,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,,0
150101,120037,33924,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,7/1/2023 23:22,,0
